hand 0: type: HIGHCARD, hand: KQJ53, bid: 367
hand 1: type: HIGHCARD, hand: 65T2J, bid: 607
hand 2: type: HIGHCARD, hand: QA873, bid: 435
hand 3: type: HIGHCARD, hand: KQJ43, bid: 792
hand 4: type: HIGHCARD, hand: A53K4, bid: 506
hand 5: type: HIGHCARD, hand: 56T28, bid: 752
hand 6: type: HIGHCARD, hand: QJ83A, bid: 897
hand 7: type: HIGHCARD, hand: 2TQA5, bid: 535
hand 8: type: HIGHCARD, hand: 72JAQ, bid: 573
hand 9: type: HIGHCARD, hand: AK562, bid: 510
hand 10: type: HIGHCARD, hand: K3T7J, bid: 741
hand 11: type: HIGHCARD, hand: K7J84, bid: 128
hand 12: type: HIGHCARD, hand: T6789, bid: 886
hand 13: type: HIGHCARD, hand: 893K7, bid: 253
hand 14: type: HIGHCARD, hand: AT895, bid: 369
hand 15: type: HIGHCARD, hand: 9573K, bid: 674
hand 16: type: HIGHCARD, hand: J8AK3, bid: 161
hand 17: type: HIGHCARD, hand: 9TJ3K, bid: 386
hand 18: type: HIGHCARD, hand: 54387, bid: 939
hand 19: type: HIGHCARD, hand: 7AT9J, bid: 354
hand 20: type: HIGHCARD, hand: T397K, bid: 217
hand 21: type: HIGHCARD, hand: 35TQA, bid: 81
hand 22: type: HIGHCARD, hand: A2TJ4, bid: 846
hand 23: type: HIGHCARD, hand: 97345, bid: 947
hand 24: type: HIGHCARD, hand: 897J4, bid: 730
hand 25: type: HIGHCARD, hand: A82J9, bid: 775
hand 26: type: HIGHCARD, hand: 4T9QJ, bid: 876
hand 27: type: HIGHCARD, hand: A67TQ, bid: 990
hand 28: type: HIGHCARD, hand: 89763, bid: 823
hand 29: type: HIGHCARD, hand: T45Q8, bid: 306
hand 30: type: HIGHCARD, hand: TAJK4, bid: 852
hand 31: type: HIGHCARD, hand: 3Q64T, bid: 615
hand 32: type: HIGHCARD, hand: 49QK8, bid: 853
hand 33: type: HIGHCARD, hand: K7A3J, bid: 825
hand 34: type: HIGHCARD, hand: 6A93Q, bid: 901
hand 35: type: HIGHCARD, hand: 4KA6T, bid: 526
hand 36: type: HIGHCARD, hand: 7T426, bid: 127
hand 37: type: HIGHCARD, hand: 3T7Q4, bid: 240
hand 38: type: HIGHCARD, hand: 2QJ39, bid: 15
hand 39: type: HIGHCARD, hand: 5K4Q9, bid: 43
hand 40: type: HIGHCARD, hand: 72543, bid: 487
hand 41: type: HIGHCARD, hand: TK6Q9, bid: 801
hand 42: type: HIGHCARD, hand: KT89A, bid: 271
hand 43: type: HIGHCARD, hand: QAK45, bid: 365
hand 44: type: HIGHCARD, hand: 5KT69, bid: 447
hand 45: type: HIGHCARD, hand: 827T9, bid: 583
hand 46: type: HIGHCARD, hand: 29TA7, bid: 347
hand 47: type: HIGHCARD, hand: A284J, bid: 713
hand 48: type: HIGHCARD, hand: 98QTA, bid: 184
hand 49: type: HIGHCARD, hand: T743K, bid: 417
hand 50: type: HIGHCARD, hand: K3T75, bid: 368
hand 51: type: HIGHCARD, hand: 436AJ, bid: 639
